X,Y,OBJECTID,TRAILSYSID,SITENAME,SITEADDR,TOWNNO,PARKING,TRAILRPKNG,RESTROOM,FOOD,WATER,OPENWHEN,PARKINGNUM
1070530.267,771602.464000002,19,3,Smith St.,Smith St.,42,Parking Lot,True,False,False,False,Year-round,10
1147834.639,820335.266000003,20,3,Willimantic,Jackson St.,163,Non Parking,False,False,False,False,Year-round,0
1171700.745,835220.272,21,3,Chewink Rd.,Chewink Rd.,24,Roadside Parking,False,False,False,False,Year-round,2
1182028.89300001,844072.020999998,22,3,Goodwin Conservation Center,Potter Rd.,63,Parking Lot,False,False,False,False,Year-round,10
1208881.245,876410.557999998,23,3,Babbit Hill Rd.,Babbit Hill Rd.,112,Non Parking,False,False,False,False,Year-round,0
1206488.98899999,876047.452999994,24,3,Covell Rd.,Covell Rd.,112,Non Parking,False,False,False,False,Year-round,0
1200954.39,865587.746999994,25,3,Brookyln Rd.,Brookyln Rd.,112,Non Parking,False,False,False,False,Year-round,0
1199149.153,865314.836999997,26,3,Rt. 97,Rt. 97,112,Non Parking,False,False,False,False,Year-round,0
1193138.92,862850.958000004,27,3,Lewis Rd.,Lewis Rd.,63,Non Parking,False,False,False,False,Year-round,0
1189091.618,861207.266000003,28,3,Kenyon Rd.,Kenyon Rd.,63,Non Parking,False,False,False,False,Year-round,0
1186410.51199999,860101.672000006,29,3,Griffin Rd.,Griffin Rd.,63,Non Parking,False,False,False,False,Year-round,0
1185357.671,855656.824000001,30,3,Station Rd.,Station Rd.,63,Non Parking,False,False,False,False,Year-round,0
1179743.596,852394.044,31,3,Estabrook Rd.,Estabrook Rd.,630,Non Parking,False,False,False,False,Year-round,0
1180950.742,844813.402999997,32,3,Potter Rd.,Potter Rd.,63,Non Parking,False,False,False,False,Year-round,0
1178856.353,840290.151999995,33,3,Brook Rd.,Brook Rd.,63,Non Parking,False,False,False,False,Year-round,0
1164669.54700001,837309.989999995,34,3,Two Sisters Trailhead,Two Sisters Trailhead,63,Non Parking,False,False,False,False,Year-round,0
1162066.117,833121.641000003,35,3,Rt. 203,Rt. 203,163,Roadside Parking,False,False,False,False,Year-round,2
1154290.58,828019.464000002,36,3,Tuckie Rd.,Tuckie Rd.,163,Non Parking,False,False,False,False,Year-round,0
1153892.418,827332.540999994,37,3,Rt. 66,Rt. 66,163,Non Parking,False,False,False,False,Year-round,0
1150294.573,823169.630999997,38,3,Rt. 195,Rt. 195,163,Non Parking,False,False,False,False,Year-round,0
1148460.41500001,820788.322999999,39,3,Milk St.,Milk St.,163,Non Parking,False,False,False,False,Year-round,0
1214911.05400001,877888.679000005,40,3,Rt. 44,Rt. 44,112,Roadside Parking,False,False,False,False,Year-round,5
1218011.176,880412.886000007,41,3,Needles Eye Road,Needles Eye Road,112,Non Parking,False,False,False,False,Year-round,0
1220028.18799999,881527.364999995,42,3,Wrights Crossing Rd.,Wrights Crossing Rd.,112,Non Parking,False,False,False,False,Year-round,0
1227640.126,885930.128999993,43,3,River Rd.,River Rd.,112,Non Parking,False,False,False,False,Year-round,0
1228545.713,887470.321999997,44,3,Town Farm Rd.,Town Farm Rd.,112,Non Parking,False,False,False,False,Year-round,0
1228636.307,892955.120000005,45,203,Simonzi Park,Kennedy Dr.,116,Parking Lot,False,False,False,False,Year-round,15
1228166.57099999,894403.925999999,46,203,Putnam River Trail,Kennedy Dr.,116,Parking Lot,False,False,False,False,Year-round,20
1228421.515,894999.204999998,47,203,Putnam River Trail,Kennedy Dr.,116,Parking Lot,False,False,False,False,Year-round,15
1240344.338,917826.150000006,48,3,Sunset Hill Rd.,Sunset Hill Rd.,141,Roadside Parking,False,False,False,False,Year-round,2
1235314.234,907142.486000001,49,3,Hwy 193,Hwy 193,141,Non Parking,False,False,False,False,Year-round,0
1242893.25399999,920757.809,50,3,Lowell Davis Rd.,Lowell Davis Rd.,141,Non Parking,False,False,False,False,Year-round,0
1252741.29799999,928104.659999996,51,3,Sand Dam Rd.,Sand Dam Rd.,141,Non Parking,False,False,False,False,Year-round,0
1255774.90800001,929753.773000002,52,3,Thompson Rd.,Thompson Rd.,141,Roadside Parking,False,False,False,False,Year-round,2
1111324.258,784685.702000007,53,201,Crouch Rd.,Crouch Rd.,67,Non Parking,False,False,False,False,Year-round,0
1113917.652,777646.630999997,54,201,Old Amston Rd.,Old Amston Rd.,28,Non Parking,False,False,False,False,Year-round,0
1078361.161,768483.753999993,55,3,Daly Rd.,Daly Rd.,42,Non Parking,False,False,False,False,Year-round,0
1088755.392,772794.769999996,56,3,Salmon River State Forest,River Rd.,28,Parking Lot,True,False,False,False,Year-round,30
1046775.36499999,767101.976999998,57,3,Breezy Corners Rd.,Breezy Corners Rd.,113,Non Parking,False,False,False,False,Year-round,0
1051019.46600001,766556.640000001,58,3,E. Hampton Rd.,E. Hampton Rd.,113,Non Parking,False,False,False,False,Year-round,0
1052699.046,766916.522,59,3,Depot Hill Rd.,Depot Hill Rd.,42,Non Parking,False,False,False,False,Year-round,0
1060360.88699999,766470.106000006,60,3,Alden's Crossing Rd.,Alden's Crossing Rd.,42,Non Parking,False,False,False,False,Year-round,0
1067814.04899999,770340.640000001,61,3,Main St.,Main St.,42,Non Parking,False,False,False,False,Year-round,0
1043339.236,841941.194000006,62,212,Veteran''s Memorial Park,Sunset Ridge Dr.,43,Parking Lot,False,False,False,False,Year-round,85
1040532.252,841564.548999995,63,212,Forbes Ave.,Forbes Ave,43,Non Parking,False,False,False,False,Year-round,0
1046754.964,852630.5,64,213,Chapel Rd.,Chapel Rd.,77,Non Parking,False,False,False,False,Year-round,0
1048868.831,849910.953999996,65,213,Tolland Turnpike,Tolland Turnpike,77,Non Parking,False,False,False,False,Year-round,0
1048056.34100001,845175.223000005,66,213,Hwy 44,Hwy 44,77,Non Parking,False,False,False,False,Year-round,0
1047372.59100001,839808.708000004,67,212,Silver Lane,Silver Lane,77,Non Parking,False,False,False,False,Year-round,0
1064212.18799999,838972.167999998,68,212,Charter Oak Park,Charter Oak Park,77,Parking Lot,False,False,False,False,Year-round,100
1064549.65700001,837682.268000007,69,212,Mt. Nebo Park,Spring St.,77,Parking Lot,False,False,False,False,Year-round,50
1067118.29899999,838662.262999997,70,212,Gardner St.,Gardner St.,77,Non Parking,False,False,False,False,Year-round,0
1059739.13,838548.530000001,71,212,Prospect St.,Prospect St.,77,Non Parking,False,False,False,False,Year-round,0
